epoch,loss,body_loss,endpoint1_loss,endpoint2_loss,crossing_loss,boundary_loss,val_score,val_iou,val_dice,body_iou,endpoint1_iou,endpoint2_iou,crossing_iou,endpoint1_f1,endpoint2_f1,crossing_f1,threshold_body,threshold_endpoint1,threshold_endpoint2,threshold_crossing,lr,seconds
1,5.041240310668945,1.393145704269409,1.1037415266036987,1.1787666916847228,1.3087212443351746,0.28432598412036897,0.004267290087541933,0.004086163274134503,0.008094412758158946,0.012307528134561388,0.00106142725317324,0.0009174969806763285,0.002058200728127056,0.0,0.0,0.0008319467554076539,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.000999832089238023,39.137412786483765
2,4.089023208618164,0.9572462797164917,1.0306347370147706,1.0355103492736817,1.0241119861602783,0.2075997069478035,0.020721524221762117,0.020987378050700903,0.04019881345545069,0.021195742909552288,0.0011061297568126193,0.004486882739044887,0.05716075679739381,0.0,0.05907172995780591,0.08156028368794324,0.3,0.3,0.39999999999999997,0.35,0.000999328472029741,4.461443185806274
3,3.990265226364136,0.9176802039146423,1.0108564972877503,1.0145847082138062,1.0158003330230714,0.15671697705984117,0.4750988942142185,0.45311238481671035,0.5931251070320558,0.601882157782244,0.3498954861307271,0.6971586667252206,0.16351322862864973,0.5503355704697986,0.6027397260273972,0.32286995515695066,0.3,0.44999999999999996,0.44999999999999996,0.35,0.0009984894935292329,6.076728343963623
4,3.9331286191940307,0.8710335314273834,1.0161056041717529,1.0064814567565918,1.013662999868393,0.12922535240650176,0.6501892493943798,0.5888035814278552,0.7095761441165704,0.749868087888311,0.6738531946083164,0.7344735673034207,0.19701947591137278,0.989010989010989,0.967032967032967,0.4000000000000001,0.44999999999999996,0.6,0.7,0.65,0.000997315728730454,4.444748640060425
5,3.833384370803833,0.793261593580246,1.0034886658191682,1.0026171505451202,1.012084174156189,0.10966406539082527,0.598932539144183,0.5927715388858028,0.7011047331731485,0.7903905563397161,0.6886710322116658,0.7500114800018368,0.1420130869899923,0.989010989010989,0.8888888888888888,0.29571984435797666,0.65,0.7999999999999999,0.7999999999999999,0.7,0.0009958079820731672,4.768271446228027
6,3.711458516120911,0.6837934136390686,0.9974069237709046,1.0019885420799255,1.0093564510345459,0.09456599205732345,0.697705405589609,0.6063838821331949,0.7186636237746057,0.8061176143159596,0.6858384643245201,0.7487031700288185,0.18487627986348124,0.989010989010989,0.9565217391304347,0.524822695035461,0.85,0.9,0.9,0.85,0.0009939672868916176,5.990433692932129
7,3.552988386154175,0.5352804809808731,0.9945663332939148,0.9973276913166046,1.0093631863594055,0.082253547757864,0.717319612101138,0.6189354516093554,0.7330905398885844,0.8266215547119987,0.6843360171395003,0.7443337989456135,0.22045043564030906,0.989010989010989,0.967032967032967,0.5454545454545454,0.85,0.9,0.9,0.9,0.0009917949047063377,4.366827964782715
8,3.437914729118347,0.42783232033252716,0.9944087207317353,0.9944174468517304,1.0064841151237487,0.07386048212647438,0.7268766921419515,0.6311723089943929,0.7420062605729081,0.8352004848969078,0.7023047375160051,0.761733010776336,0.22545100278832264,1.0,0.967032967032967,0.553191489361702,0.7999999999999999,0.95,0.85,0.9,0.0009892923243595645,4.284913539886475
9,3.349485492706299,0.3467461496591568,0.9890137016773224,0.9923944592475891,1.0079291105270385,0.06701007410883904,0.7344697060141915,0.6362589561507196,0.74971888897347,0.8424259665093279,0.701003717472119,0.7484211940699601,0.25318494655147167,1.0,0.9565217391304347,0.5606060606060607,0.85,0.95,0.9,0.9,0.0009864612609948612,5.796971321105957
10,3.3161195516586304,0.3139856606721878,0.992819631099701,0.9912061750888824,1.0052034318447114,0.06452317759394646,0.7478442721188708,0.6413861486125761,0.7565372197783458,0.852244251047698,0.680263332010057,0.7537606137666479,0.27927639762590184,0.989010989010989,0.9462365591397849,0.6031746031746031,0.9,0.95,0.85,0.9,0.000983303654881643,4.315613031387329
11,3.2263850450515745,0.2483159452676773,0.9778487920761109,0.9858130514621735,1.0023651421070099,0.060210618376731875,0.7341795822733529,0.6452068832111657,0.7555234055050528,0.8579706325435295,0.6934158537011783,0.7739319965126417,0.2555090500873132,0.989010989010989,0.9462365591397849,0.5401459854014599,0.85,0.95,0.85,0.85,0.000979821670085414,4.271180152893066
12,3.2195834875106812,0.2522996410727501,0.9704833507537842,0.9847416520118714,1.0011077046394348,0.05475591830909252,0.7590229440178161,0.6574342794531303,0.7682947829333743,0.8608161181925166,0.6953948520399229,0.7845632628241324,0.288962884755949,0.989010989010989,0.967741935483871,0.6046511627906976,0.7999999999999999,0.95,0.85,0.9,0.0009760176929846248,6.252007961273193
13,3.168734073638916,0.22453065365552902,0.9562121510505677,0.978442233800888,0.9992048919200898,0.05172051526606083,0.7665764608285512,0.6582501854758537,0.7704166417082479,0.8642424500333348,0.6794993300434655,0.786445071987408,0.3028138898392063,0.989010989010989,0.9361702127659575,0.65,0.85,0.95,0.95,0.9,0.000971894330635167,4.580941677093506
14,3.1236849546432497,0.2311564102768898,0.9175517797470093,0.9673868119716644,0.9979017794132232,0.04844104424118996,0.7845766402056278,0.6781109766121923,0.7869929003722713,0.8674802558696352,0.7062873033098209,0.8074996675679269,0.3311766797013864,0.989010989010989,0.9782608695652174,0.6666666666666666,0.75,0.95,0.9,0.85,0.0009674544089836283,4.196964263916016
15,2.955032300949097,0.20991540402173997,0.8051023006439209,0.9354230701923371,0.9959219098091125,0.04334840774536133,0.7882967445010098,0.6857738827080977,0.7917201672562355,0.8710220078812969,0.727852812932043,0.8152083908363235,0.3290123191827274,0.989010989010989,0.9782608695652174,0.6666666666666667,0.75,0.95,0.9,0.9,0.00096270097093053,5.628676176071167
16,2.6384442806243897,0.19955158233642578,0.5910974085330963,0.8483262896537781,0.9914471805095673,0.04010872691869736,0.7705220512914862,0.6830207997883158,0.7864760841474978,0.8718967797276529,0.7514591439688716,0.8079291938500844,0.30079808160665444,1.0,0.9565217391304347,0.5954198473282443,0.75,0.95,0.85,0.9,0.0009576372742448739,4.588920831680298
17,2.326471519470215,0.18536999225616455,0.46356758177280427,0.6821380704641342,0.987890648841858,0.03752618506550789,0.7683278596712972,0.6898995374804611,0.78830634212394,0.8729348131247979,0.7837105139085337,0.8197852050736043,0.2831676178149085,1.0,0.9782608695652174,0.5714285714285715,0.7,0.95,0.85,0.85,0.0009522667893314313,4.336852550506592
18,2.0584914565086363,0.18423710465431214,0.38475791215896604,0.5033124029636383,0.9786750376224518,0.037545039877295495,0.7725796228967337,0.6988444831441993,0.7928817404102162,0.8768326353563963,0.8074344667014572,0.833619370100654,0.2774914604182897,0.989247311827957,0.9782608695652174,0.5801526717557252,0.65,0.95,0.85,0.85,0.0009465931968522998,5.867558240890503
19,1.982136607170105,0.19102810472249984,0.40626576393842695,0.4015424847602844,0.9759046077728272,0.036978236958384515,0.7667003640862012,0.7006381377443999,0.7918747092722892,0.8796961077305296,0.8201295067551363,0.83825531715104,0.26447161934089364,0.9782608695652174,0.9782608695652174,0.5611510791366906,0.7,0.95,0.85,0.85,0.0009406203852043626,4.600075006484985
20,1.972746157646179,0.20588624626398086,0.37286756336689,0.4165401592850685,0.970507675409317,0.03472256846725941,0.7611478257890324,0.7008542314086674,0.7898957308954725,0.8795204395494475,0.8307754442649434,0.8413306265571653,0.2517904152631132,0.9782608695652174,0.9782608695652174,0.5454545454545454,0.7999999999999999,0.95,0.85,0.9,0.0009343524478543746,4.238113641738892
21,1.8948847770690918,0.20500035285949708,0.36923159211874007,0.34432763159275054,0.9694952845573426,0.03414967134594917,0.7646151831251383,0.7048811885897706,0.7935927282661732,0.8740077865814605,0.836999959633472,0.8491331096196868,0.25938389852446286,0.9782608695652174,0.9782608695652174,0.553191489361702,0.9,0.95,0.85,0.95,0.0009277936805335048,5.469568490982056
22,1.961654007434845,0.1964733213186264,0.40777475833892823,0.38468054831027987,0.9662483036518097,0.03238529581576586,0.7772158727424705,0.7153651651887557,0.8055018816671757,0.8747437198050497,0.8407866818997878,0.8505171526185239,0.29541310643166135,0.9782608695652174,0.9782608695652174,0.5693430656934306,0.85,0.95,0.75,0.95,0.0009209485782932573,4.723861217498779
23,1.8548222541809083,0.17668951600790023,0.3265508279204369,0.37596070766448975,0.9686075985431671,0.03506778664886952,0.7979848178990673,0.7198349106224433,0.8086989379071808,0.8797302347100379,0.8445756157134134,0.855618477090841,0.29941531497548096,0.9782608695652174,0.9782608695652174,0.6551724137931035,0.85,0.95,0.75,0.95,0.0009138218324247873,4.200911045074463
24,1.8382946133613587,0.1799677312374115,0.3377779066562653,0.3515962839126587,0.9623555839061737,0.03298545703291893,0.7942744919662673,0.7184837768082781,0.8055598847556722,0.8825157817557538,0.8476650431793067,0.8595365082361826,0.2842177740618699,0.9782608695652174,0.9782608695652174,0.6440677966101694,0.85,0.95,0.7999999999999999,0.95,0.0009064183272437239,5.84390926361084
25,1.882271695137024,0.1851777344942093,0.3524603247642517,0.368735308945179,0.9697289228439331,0.030846913903951646,0.7823412938898319,0.7244776395787156,0.8114954588920623,0.8847134718859778,0.8513219409962921,0.86169758504531,0.30017756038728266,1.0,0.9782608695652174,0.557142857142857,0.7999999999999999,0.9,0.75,0.9,0.0008987431367427049,4.640832901000977
26,1.7568228006362916,0.1691988341510296,0.31062273383140565,0.32927294000983237,0.9418169140815735,0.029556894861161708,0.8100635496590042,0.7298114823307367,0.8174496755245819,0.8844430678806039,0.8528315793784038,0.8622669260331167,0.3197043560308225,1.0,0.9782608695652174,0.672566371681416,0.7999999999999999,0.9,0.75,0.95,0.0008908015211139154,4.331683397293091
